Wolfram Kempe, Hilmar Schneider	209.5199737548828	253.6971435546875	11.6400146484375	177.63706970214844	0
Institut zur Zukunft der Arbeit (IZA), Bonn	189.0	272.89715576171875	11.6400146484375	218.77609252929688	0
Weiterentwicklung des Niedrigeinkommen-Panels	91.08000183105469	367.4801025390625	17.519989013671875	414.39402770996094	1
(NIEP)	272.0400390625	387.6401062011719	17.519989013671875	52.46002197265625	1
Expertise im Auftrag des	215.40003967285156	449.068603515625	15.480010986328125	165.6156463623047	2
Bundesministeriums für Gesundheit und Soziale Sicherung	102.36001586914062	468.62860107421875	15.480010986328125	391.7815856933594	2
Bonn, im Dezember 2002	238.20001220703125	620.7527465820312	11.639999389648438	120.35089111328125	3
Inhaltsverzeichnis	69.48004150390625	107.279541015625	15.47998046875	134.16229248046875	4
1 Einleitung ...................................................................................................3	93.00004577636719	154.0057373046875	13.67999267578125	433.68006896972656	5
2 Mikrodaten für die Armutsberichterstattung – Defizite und Wege .......4	93.0001220703125	181.36572265625	13.67999267578125	433.67999267578125	6
2.1	111.0001220703125	202.6727294921875	11.63995361328125	14.529998779296875	7
2.2	111.0001220703125	216.11273193359375	11.63995361328125	14.529998779296875	7
2.3	111.0001220703125	229.552734375	11.63995361328125	14.529998779296875	7
2.4	111.0001220703125	242.99273681640625	11.63995361328125	14.529998779296875	7
2.5	111.0001220703125	256.4327392578125	11.63995361328125	14.529998779296875	7
Allgemeine Anforderungen an eine Abbildung von Armut und ihrer Dynamik .....4	139.56011962890625	202.6727294921875	11.63995361328125	387.05999755859375	8
Derzeitige Quellen der Armutsberichterstattung und ihre Defizite .........................5	139.56011962890625	216.11273193359375	11.63995361328125	387.05999755859375	8
Wege zur Mängelbeseitigung...................................................................................8	139.56011962890625	229.552734375	11.63995361328125	387.05999755859375	8
Repräsentativität im Querschnitt und im Längsschnitt ..........................................10	139.56011962890625	242.99273681640625	11.63995361328125	387.17999267578125	8
Drei Vorschläge......................................................................................................13	139.56011962890625	256.4327392578125	11.63995361328125	387.1800537109375	8
3 Vergleich sozio-demographischer Merkmale der NIEP-Population	93.00018310546875	281.68572998046875	13.67999267578125	403.77801513671875	9
mit der Niedrigeinkommenspopulation des SOEP ................................17	109.56015014648438	297.5257568359375	13.67999267578125	417.1200256347656	9
3.1	111.0001220703125	318.832763671875	11.639984130859375	14.529998779296875	10
3.2	111.00018310546875	332.2727355957031	11.6400146484375	14.529998779296875	10
3.3	111.000244140625	345.7127380371094	11.6400146484375	14.529998779296875	10
Vorgehen ................................................................................................................17	139.56011962890625	318.832763671875	11.639984130859375	387.1800537109375	11
Resultate .................................................................................................................18	139.5601806640625	332.2727355957031	11.6400146484375	387.1800537109375	11
Fazit ........................................................................................................................22	139.56024169921875	345.7127380371094	11.6400146484375	387.1800537109375	11
4 Schlussfolgerungen und Empfehlung .....................................................24	93.00030517578125	370.96575927734375	13.67999267578125	433.6800537109375	12
Literaturverzeichnis ................................................................................27	109.560302734375	398.32574462890625	13.67999267578125	417.12005615234375	13
Tabellenanhang........................................................................................28	109.560302734375	425.56573486328125	13.67999267578125	417.12005615234375	14
Tabelle A.1: gesamte Niedrigeinkommenspopulation, in Fallzahlen ..............................28	111.00030517578125	446.9927062988281	11.6400146484375	415.739990234375	15
Tabelle A.2: gesamte Niedrigeinkommenspopulation, gewichtet ...................................34	111.00030517578125	460.3127136230469	11.6400146484375	415.74005126953125	15
Tabelle A.3: Population ohne Ausländer und Zuwanderer des SOEP, in Fallzahlen ......40	111.0003662109375	473.7527160644531	11.6400146484375	415.739990234375	15
Tabelle A.4: Population ohne Ausländer und Zuwanderer des SOEP, gewichtet ...........46	111.0003662109375	487.1927185058594	11.6400146484375	415.739990234375	15
2	521.280029296875	760.1926879882812	11.639999389648438	5.82000732421875	16
Einleitung	475.79998779296875	72.89898681640625	11.6400146484375	51.33538818359375	17
1	69.47998046875	118.56610107421875	13.67999267578125	7.6060791015625	18
Einleitung	104.51998138427734	118.56610107421875	13.67999267578125	66.4477767944336	19
Die Bundesregierung möchte im Zusammenhang mit der Armuts- und Reichtumsberichterstat-	69.47998809814453	138.11273193359375	11.63995361328125	457.71605682373047	20
tung bestehende Informationsdefizite zur Armutslage in Deutschland beheben und die Datenquel-	69.47994995117188	152.75274658203125	11.63995361328125	457.7160949707031	20
len verbessern. Das Hauptaugenmerk liegt dabei auf einer möglichst verzerrungsarmen Erfassung	69.47994995117188	167.27276611328125	11.63995361328125	457.5857238769531	20
von individuellen Lebenslagenaspekten sowie der Armutsdynamik. Dies erfordert die Nutzung	69.47994995117188	181.91278076171875	11.63995361328125	457.6908874511719	20
von Individualdatensätzen. Bei den meisten der für diesen Zweck in Frage kommenden Daten	69.47994995117188	196.55279541015625	11.63995361328125	457.6872253417969	20
handelt es sich jedoch um Mehrbereichs-Erhebungen oder um Datensätze, die nicht primär mit	69.47994995117188	211.07281494140625	11.63995361328125	457.6888122558594	20
dem Ziel der Armutserfassung geschaffen wurden. Aus diesem Grund hat das seinerzeitige	69.47994995117188	225.71282958984375	11.63995361328125	457.6872253417969	20
Bundesministerium für Gesundheit Mitte der 90er Jahre die Initiative zur Durchführung des	69.47994995117188	240.35284423828125	11.63995361328125	457.6851501464844	20
Niedrigeinkommenspanels (NIEP) ergriffen, mit dem Ziel der Bereitstellung einer verbesserten	69.47994995117188	254.87286376953125	11.63995361328125	457.6833801269531	20
Datengrundlage im Bereich des prekären Wohlstandes bzw. der Armut.1 „Aufgabe des NIEP ist	69.47994995117188	267.1502685546875	14.0025634765625	457.5824890136719	20
